,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
251,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,MADHYA PRADESH,1331597,700358,631239,820220,1195235,120331,1725,2262,253,1141
252,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,MADHYA PRADESH,1545814,790212,755602,804245,1433879,106928,1243,460,121,1611
253,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,MADHYA PRADESH,1455069,738241,716828,825880,1267043,151071,3996,1353,175,3644
254,Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,MADHYA PRADESH,2365106,1225100,1140006,1441757,2268838,85414,1964,832,986,3406
255,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,MADHYA PRADESH,2378458,1256257,1122201,1545719,2198297,103480,5580,4146,991,4546
256,Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,MADHYA PRADESH,2228935,1157495,1071440,1371781,2158623,59471,2228,1163,364,3754
257,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,MADHYA PRADESH,1311332,683743,627589,780362,1163607,137980,1404,640,357,1566
258,Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,MADHYA PRADESH,1379131,695879,683252,864194,1145052,79739,1857,360,7288,1182
259,Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,MADHYA PRADESH,1066063,540021,526042,604194,997073,42426,2372,912,268,1733
260,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,MADHYA PRADESH,1512681,780520,732161,894612,1321003,174724,815,631,179,1382
261,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,MADHYA PRADESH,687861,361784,326077,328025,638702,41396,230,6387,201,273
262,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,MADHYA PRADESH,1726050,919795,806255,900846,1648749,51200,1117,7151,3421,1852
263,Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,MADHYA PRADESH,1127033,575912,551121,600785,1077545,34419,511,128,92,837
264,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,MADHYA PRADESH,1445166,760355,684811,747940,1383475,44143,588,251,109,1090
265,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,MADHYA PRADESH,1986864,1016289,970575,1240990,1718204,233133,4659,3241,945,7501
266,Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,MADHYA PRADESH,644758,330674,314084,356672,620515,15966,667,190,70,839
267,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,MADHYA PRADESH,1458875,769568,689307,862918,1287391,149548,1313,914,295,1926
268,Maharashtra,Akola,20.746310479041902,77.12122320359276,MAHARASHTRA,1813906,932334,881572,1411281,1107809,357253,4483,1504,328033,6163
269,Maharashtra,Amravati,21.16520991810736,77.67583503184723,MAHARASHTRA,2888445,1480768,1407677,2251875,2055177,421410,7223,2242,383891,9438
270,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,BIHAR,2540073,1318684,1221389,1466002,2291133,237353,2218,295,334,2362
271,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,MAHARASHTRA,3701282,1924469,1776813,2503837,2545438,786677,15991,5142,309093,23258
272,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,MAHARASHTRA,1200334,605520,594814,899860,1009352,26502,2145,831,154458,2932
273,Maharashtra,Bid,18.952353340080982,75.69319706477731,MAHARASHTRA,2585049,1349106,1235943,1718507,2174672,320395,2097,824,68482,5614
274,Maharashtra,Buldana,20.56680611183355,76.39017880364096,MAHARASHTRA,2586258,1337560,1248698,1879874,1845424,354236,3531,1668,364229,4767
275,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,MAHARASHTRA,2204307,1123834,1080473,1578615,1780085,92297,10701,5251,286734,8239
276,Maharashtra,Dhule,21.274018690400517,74.58719071837263,MAHARASHTRA,2050862,1054031,996831,1293916,1825460,187901,3653,1422,13405,6065
277,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,MAHARASHTRA,1322507,661554,660953,1004243,1153861,26157,1827,2160,125282,2866
278,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,MAHARASHTRA,1177345,606294,571051,790743,863199,127552,992,643,176679,1221
279,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,MAHARASHTRA,4229917,2197365,2032552,2891882,3457615,560261,7091,3091,143865,14297
280,Maharashtra,Jalna,19.984612534818933,75.98473607242339,MAHARASHTRA,1959046,1011473,947573,1195523,1504641,274221,12542,1629,152540,3791
281,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,MAHARASHTRA,3876001,1980658,1895343,2825845,3379906,286558,15573,1570,29766,22269
